date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-24,8.78,8.82,8.72,8.6,17386.0,-0.05,-0.57,8.614,8.654,8.714,17505.36,16999.96,24171.03
2018-12-21,8.54,8.79,8.77,8.46,30835.74,0.2,2.33,8.59,8.651,8.71,16776.31,17555.37,24343.83
2018-12-20,8.45,8.57,8.57,8.41,12545.14,0.09,1.06,8.548,8.66,8.704,14482.53,17214.29,24937.21
2018-12-19,8.53,8.58,8.48,8.45,11168.0,-0.05,-0.59,8.592,8.703,8.732,16229.13,19431.58,25737.6
2018-12-18,8.49,8.6,8.53,8.45,15591.91,-0.07,-0.81,8.654,8.754,8.764,16899.93,22188.88,26992.25
2018-12-17,8.53,8.61,8.6,8.45,13740.74,0.04,0.47,8.694,8.814,8.792,16494.56,27575.29,28775.61
2018-12-14,8.79,8.85,8.56,8.54,19366.84,-0.23,-2.62,8.712,8.826,8.834,18334.44,29381.36,31866.97
2018-12-13,8.86,8.9,8.79,8.73,21278.16,0.0,0.0,8.772,8.818,8.87,19946.05,29258.51,33515.54
2018-12-12,8.78,8.87,8.79,8.71,14522.0,0.06,0.69,8.814,8.785,8.891,22634.02,30036.8,34980.7
2018-12-11,8.69,8.77,8.73,8.65,13565.05,0.04,0.46,8.854,8.78,8.906,27477.82,30894.6,36672.85
2018-12-10,8.83,8.85,8.69,8.58,22940.13,-0.17,-1.92,8.934,8.774,8.929,38656.01,31342.09,39426.22
2018-12-07,8.99,9.08,8.86,8.82,27424.93,-0.14,-1.56,8.94,8.768,8.948,40428.28,31132.28,41016.03
2018-12-06,9.02,9.2,9.0,8.93,34718.0,0.01,0.11,8.864,8.748,8.942,38570.97,32660.13,41060.44
2018-12-05,8.93,9.09,8.99,8.81,38741.0,-0.14,-1.53,8.756,8.76,8.933,37439.57,32043.63,41255.19
2018-12-04,8.7,9.44,9.13,8.68,69456.0,0.41,4.7,8.706,8.773,8.928,34311.37,31795.63,41420.59
2018-12-03,8.64,8.8,8.72,8.62,31801.47,0.24,2.83,8.614,8.769,8.922,24028.17,29975.94,40438.21
2018-11-30,8.43,8.56,8.48,8.3,18138.4,0.02,0.24,8.596,8.842,8.945,21836.28,34352.57,42611.09
2018-11-29,8.78,8.82,8.46,8.41,29061.0,-0.28,-3.2,8.632,8.921,8.966,26749.29,37772.57,45034.08
2018-11-28,8.68,8.79,8.74,8.52,23100.0,0.07,0.81,8.764,8.997,8.972,26647.69,39924.6,45879.55
2018-11-27,8.66,8.78,8.67,8.62,18040.0,0.04,0.46,8.84,9.032,8.965,29279.89,42451.1,46637.52
2018-11-26,8.77,8.84,8.63,8.6,20842.0,-0.03,-0.35,8.924,9.083,8.958,35923.71,47510.34,47579.12
2018-11-23,9.16,9.16,8.66,8.52,42703.46,-0.46,-5.04,9.088,9.128,8.948,46868.86,50899.79,49082.72
2018-11-22,9.15,9.2,9.12,9.07,28553.0,0.0,0.0,9.21,9.136,8.959,48795.84,49460.74,49665.75
2018-11-21,8.95,9.14,9.12,8.91,36261.0,0.03,0.33,9.23,9.105,8.958,53201.5,50466.74,51064.0
2018-11-20,9.31,9.33,9.09,9.03,51259.11,-0.36,-3.81,9.224,9.083,8.965,55622.31,51045.54,54048.71
2018-11-19,9.21,9.48,9.45,9.1,75567.75,0.18,1.94,9.242,9.074,8.95,59096.97,50900.48,54177.6
2018-11-16,9.28,9.37,9.27,9.16,52338.36,0.05,0.54,9.168,9.047,8.927,54930.71,50869.62,54201.23
2018-11-15,9.14,9.25,9.22,9.08,50581.3,0.13,1.43,9.062,9.011,8.896,50125.64,52295.59,54815.76
2018-11-14,9.18,9.26,9.09,9.02,48365.05,-0.09,-0.98,8.98,8.946,8.871,47731.98,51834.5,56903.27
2018-11-13,8.95,9.23,9.18,8.93,68632.39,0.1,1.1,8.942,8.897,8.9,46468.77,50823.94,61751.67
2018-11-12,8.87,9.13,9.08,8.76,54736.45,0.34,3.89,8.906,8.832,8.979,42704.0,47647.9,60896.9
2018-11-09,8.81,8.88,8.74,8.74,28313.0,-0.07,-0.8,8.926,8.768,9.183,46808.52,47265.66,64954.1
2018-11-08,8.93,9.02,8.81,8.8,38613.01,-0.09,-1.01,8.96,8.781,9.417,54465.53,49870.76,72867.59
2018-11-07,8.95,9.06,8.9,8.86,42049.01,-0.1,-1.11,8.912,8.811,9.595,55937.02,51661.27,75835.04
2018-11-06,9.1,9.1,9.0,8.8,49808.52,-0.18,-1.96,8.852,8.846,9.792,55179.11,57051.88,80250.01
2018-11-05,8.91,9.31,9.18,8.8,75259.07,0.27,3.03,8.758,8.826,9.943,52591.81,57454.72,79677.74
2018-11-02,8.68,8.95,8.91,8.61,66598.06,0.34,3.97,8.61,8.807,10.082,47722.79,57532.85,78310.85
2018-11-01,8.63,8.78,8.57,8.52,45970.45,-0.03,-0.35,8.602,8.781,10.233,45275.98,57335.94,76959.31
2018-10-31,8.55,8.69,8.6,8.51,38259.45,0.07,0.82,8.71,8.795,10.389,47385.51,61972.04,75939.41
2018-10-30,8.45,8.61,8.53,8.32,36872.0,0.09,1.07,8.84,8.903,10.546,58924.64,72679.4,75397.94
2018-10-29,8.85,8.85,8.44,8.15,50914.0,-0.43,-4.85,8.894,9.126,10.703,62317.64,74145.9,74586.74
2018-10-26,9.0,9.2,8.87,8.86,54364.0,-0.24,-2.63,9.004,9.597,10.87,67342.9,82642.55,74504.37
2018-10-25,8.81,9.2,9.11,8.8,56518.1,-0.14,-1.51,8.96,10.052,11.011,69395.91,95864.43,74230.89
2018-10-24,8.69,9.55,9.25,8.66,95955.11,0.45,5.11,8.88,10.378,11.128,76558.57,100008.81,73526.46
2018-10-23,8.91,8.96,8.8,8.75,53837.0,-0.19,-2.11,8.966,10.738,11.243,86434.15,103448.15,71005.02
2018-10-22,8.87,9.16,8.99,8.69,76040.31,0.34,3.93,9.358,11.06,11.357,85974.15,101900.75,69977.75
2018-10-19,8.27,8.89,8.65,8.22,64629.01,-0.06,-0.69,10.19,11.357,11.474,97942.19,99088.85,67708.58
2018-10-18,9.21,9.36,8.71,8.71,92331.4,-0.97,-10.02,11.144,11.685,11.622,122332.95,96582.67,65900.22
2018-10-17,9.68,10.08,9.68,9.68,145333.02,-1.08,-10.04,11.876,11.983,11.757,123459.05,89906.77,62454.7
2018-10-16,11.02,11.1,10.76,10.76,51537.0,-1.19,-9.96,12.51,12.188,11.848,120462.15,78116.49,56950.14
2018-10-15,13.45,13.45,13.15,12.84,135880.53,-0.27,-2.01,12.762,12.279,11.878,117827.35,75027.59,57415.57
2018-10-12,12.4,13.61,13.42,12.25,186582.8,1.05,8.49,12.524,12.142,11.826,100235.51,66366.18,52177.07
2018-10-11,12.3,12.83,12.37,12.18,97961.89,-0.48,-3.73,12.226,11.969,11.761,70832.39,52597.35,44635.49
2018-10-10,12.43,13.15,12.85,12.16,130348.53,0.83,6.91,12.09,11.878,11.749,56354.5,47044.11,42536.74
2018-10-09,11.9,12.13,12.02,11.8,38363.0,0.06,0.5,11.866,11.747,11.736,35770.83,38561.9,38899.27
2018-10-08,11.76,12.1,11.96,11.66,47921.32,0.03,0.25,11.796,11.654,11.772,32227.83,38054.74,39891.35
2018-09-28,11.7,11.98,11.93,11.69,39567.19,0.24,2.05,11.76,11.591,11.799,32496.86,36328.31,40310.43
2018-09-27,11.65,11.85,11.69,11.64,25572.44,-0.04,-0.34,11.712,11.558,11.823,34362.31,35217.77,41822.12
2018-09-26,11.64,11.78,11.73,11.63,27430.2,0.06,0.51,11.666,11.531,11.878,37733.72,35002.62,44519.14
2018-09-25,11.65,11.75,11.67,11.55,20648.0,-0.11,-0.93,11.628,11.507,11.949,41352.97,35783.79,49541.31
2018-09-21,11.7,11.85,11.78,11.49,49266.45,0.09,0.77,11.512,11.477,12.002,43881.66,39803.55,52517.16
2018-09-20,11.46,11.75,11.69,11.41,48894.48,0.23,2.01,11.422,11.509,12.04,40159.77,37987.97,55306.26
2018-09-19,11.45,11.61,11.46,11.33,42429.45,-0.08,-0.69,11.404,11.553,12.102,36073.22,36673.62,57719.97
2018-09-18,11.08,11.54,11.54,11.0,45526.45,0.45,4.06,11.396,11.619,12.177,32271.53,38029.38,61687.12
2018-09-17,11.28,11.29,11.09,10.94,33291.45,-0.24,-2.12,11.386,11.725,12.235,30214.61,39236.65,66782.79
2018-09-14,11.62,11.62,11.33,11.31,30657.0,-0.27,-2.33,11.442,11.889,12.298,35725.44,41727.95,69432.05
2018-09-13,11.53,11.63,11.6,11.42,28461.75,0.18,1.58,11.596,12.006,12.346,35816.17,44292.56,73622.56
2018-09-12,11.53,11.53,11.42,11.31,23421.01,-0.07,-0.61,11.702,12.088,12.381,37274.02,48426.48,82360.11
2018-09-11,11.39,11.55,11.49,11.31,35241.84,0.12,1.05,11.842,12.224,12.467,43787.22,54035.66,94795.04
2018-09-10,12.13,12.13,11.37,11.2,60845.61,-0.73,-6.03,12.064,12.39,12.489,48258.69,63298.82,101704.03
2018-09-07,12.08,12.27,12.1,12.01,31110.63,-0.03,-0.25,12.336,12.527,12.552,47730.46,65230.77,111046.9
2018-09-06,12.04,12.23,12.13,12.0,35751.02,0.01,0.08,12.416,12.57,12.603,52768.95,72624.55,122626.89
2018-09-05,12.55,12.55,12.12,12.12,55987.0,-0.48,-3.81,12.474,12.651,12.594,59578.94,78766.32,122025.99
2018-09-04,12.69,12.75,12.6,12.35,57599.2,-0.13,-1.02,12.606,12.735,12.53,64284.09,85344.86,125452.31
2018-09-03,12.38,12.79,12.73,12.36,58204.47,0.23,1.84,12.716,12.744,12.418,78338.96,94328.93,126040.41
2018-08-31,12.45,12.75,12.5,12.45,56303.05,0.08,0.64,12.718,12.707,12.28,82731.07,97136.16,126365.91
2018-08-30,12.7,12.83,12.42,12.33,69800.99,-0.36,-2.82,12.724,12.686,12.174,92480.16,102952.57,126965.11
2018-08-29,13.2,13.2,12.78,12.71,79512.75,-0.37,-2.81,12.828,12.674,12.079,97953.69,116293.75,127595.42
2018-08-28,13.02,13.49,13.15,12.95,127873.52,0.41,3.22,12.864,12.709,11.991,106405.63,135554.42,130329.6
2018-08-27,12.49,12.75,12.74,12.37,80165.03,0.21,1.68,12.772,12.588,11.893,110318.9,140109.24,130900.88
2018-08-24,12.9,13.15,12.53,12.45,105048.5,-0.41,-3.17,12.696,12.576,11.786,111541.24,156863.03,136513.23
2018-08-23,12.88,13.13,12.94,12.67,97168.64,-0.02,-0.15,12.648,12.636,11.688,113424.98,172629.22,137189.36
2018-08-22,12.53,12.97,12.96,12.36,121772.45,0.27,2.13,12.52,12.536,11.521,134633.81,165285.66,135722.86
2018-08-21,12.28,13.5,12.69,12.25,147439.88,0.33,2.67,12.554,12.325,11.338,164703.21,165559.77,130906.99
2018-08-20,12.29,12.4,12.36,11.92,86276.75,0.07,0.57,12.404,12.091,11.172,169899.57,157751.89,125243.42
2018-08-17,12.15,12.54,12.29,12.08,114467.18,-0.01,-0.08,12.456,11.852,11.018,202184.82,155595.67,121647.37
2018-08-16,12.94,12.94,12.3,12.2,203212.77,-0.83,-6.32,12.624,11.661,10.862,231833.46,150977.65,116903.74
2018-08-15,12.22,13.13,13.13,12.22,272119.47,1.19,9.97,12.552,11.483,10.695,195937.51,138897.09,107453.86
2018-08-14,12.31,12.49,11.94,11.94,173421.69,-0.68,-5.39,12.096,11.272,10.494,166416.33,125104.79,94763.16
2018-08-13,13.01,13.26,12.62,12.45,247702.98,-0.51,-3.88,11.778,11.197,10.35,145604.2,121692.52,86724.18
2018-08-10,12.8,13.13,13.13,12.52,262710.41,1.19,9.97,11.248,10.996,10.173,109006.53,116163.43,75151.17
2018-08-09,11.94,11.94,11.94,11.94,23733.0,1.09,10.05,10.698,10.739,9.969,70121.84,101749.5,62995.83
2018-08-08,10.39,11.19,10.85,10.39,124513.55,0.5,4.83,10.414,10.505,9.82,81856.67,106160.06,62690.18
2018-08-07,10.12,10.49,10.35,9.81,69361.08,0.38,3.81,10.448,10.35,9.715,83793.25,96254.21,57425.91
2018-08-06,10.22,10.53,9.97,9.86,64714.59,-0.41,-3.95,10.616,10.253,9.646,97780.83,92734.95,54936.81
2018-08-03,10.44,10.97,10.38,10.23,68286.99,-0.14,-1.33,10.744,10.183,9.589,123320.33,87699.08,52756.82
2018-08-02,10.86,10.95,10.52,10.25,82407.14,-0.5,-4.54,10.78,10.062,9.503,133377.15,82829.83,51507.66
2018-08-01,10.66,11.57,11.02,10.57,134196.45,-0.17,-1.52,10.596,9.906,9.419,130463.46,76010.62,48371.05
2018-07-31,10.2,11.66,11.19,9.85,139298.98,0.58,5.47,10.252,9.715,9.321,108715.17,64421.54,42717.03
2018-07-30,10.62,11.6,10.61,10.56,192412.08,0.05,0.47,9.89,9.503,9.225,87689.07,51755.84,36798.48
2018-07-27,9.5,10.56,10.56,9.5,118571.1,0.96,10.0,9.622,9.35,9.149,52077.82,34138.91,28639.93
2018-07-26,9.33,10.23,9.6,9.27,67838.67,0.3,3.23,9.344,9.199,9.084,32282.52,24242.17,24257.13
2018-07-25,9.37,9.45,9.3,9.27,25455.0,-0.08,-0.85,9.216,9.134,9.054,21557.78,19220.3,21769.27
2018-07-24,9.28,9.45,9.38,9.2,34168.51,0.11,1.19,9.178,9.079,9.048,20127.91,18597.61,21087.02
2018-07-23,9.2,9.28,9.27,9.1,14355.83,0.1,1.09,9.116,9.038,9.039,15822.6,17138.66,20100.33
2018-07-20,8.91,9.38,9.17,8.91,19594.58,0.21,2.34,9.078,8.994,9.033,16200.0,17814.56,20355.86
2018-07-19,9.18,9.18,8.96,8.96,14215.0,-0.15,-1.65,9.054,8.943,9.029,16201.82,20185.48,20253.08
2018-07-18,9.07,9.27,9.11,9.06,18305.61,0.04,0.44,9.052,8.932,9.026,16882.82,20731.48,20628.38
2018-07-17,9.08,9.1,9.07,8.97,12642.0,-0.01,-0.11,8.98,8.927,9.034,17067.31,21012.52,20737.9
2018-07-16,9.06,9.13,9.08,8.99,16242.82,0.03,0.33,8.96,8.946,9.047,18454.72,21841.12,21787.07
2018-07-13,8.9,9.14,9.05,8.9,19603.68,0.1,1.12,8.91,8.947,9.111,19429.12,23140.94,21847.43
2018-07-12,8.67,9.01,8.95,8.67,17620.01,0.2,2.29,8.832,8.969,9.189,24169.14,24272.09,21387.25
2018-07-11,8.81,8.87,8.75,8.56,19228.05,-0.22,-2.45,8.812,8.974,9.278,24580.14,24318.23,21419.3
2018-07-10,8.83,9.05,8.97,8.83,19579.02,0.14,1.59,8.874,9.017,9.393,24957.73,23576.42,21051.25
2018-07-09,8.53,8.85,8.83,8.53,21114.82,0.17,1.96,8.932,9.04,9.495,25227.53,23062.0,20751.8
2018-07-06,8.85,8.94,8.66,8.21,43303.82,-0.19,-2.15,8.984,9.072,9.606,26852.76,22897.16,20449.09
2018-07-05,9.08,9.13,8.85,8.75,19675.0,-0.21,-2.32,9.106,9.114,9.734,24375.04,20320.68,19127.1
2018-07-04,9.27,9.3,9.06,8.95,21116.0,-0.2,-2.16,9.136,9.119,9.86,24056.31,20525.28,18847.24
2018-07-03,9.07,9.27,9.26,8.9,20928.0,0.17,1.87,9.16,9.141,9.976,22195.11,20463.28,18436.69
2018-07-02,9.22,9.37,9.09,9.01,29241.0,-0.18,-1.94,9.148,9.148,10.077,20896.48,21733.03,17925.25
2018-06-29,9.14,9.29,9.27,8.99,30915.2,0.27,3.0,9.16,9.275,10.185,18941.55,20553.93,17241.61
2018-06-28,9.25,9.26,9.0,8.95,18081.35,-0.18,-1.96,9.122,9.408,10.281,16266.31,18502.41,16396.24
